[2019-10-19 02:46:29,672] Successfully inserted data for 2019-11-10 00:00:00, with _id: 
[2019-10-19 02:46:29,940] Successfully inserted data for 2019-11-11 00:00:00, with _id: 
[2019-10-19 02:46:30,190] Successfully inserted data for 2019-11-12 00:00:00, with _id: 
[2019-10-19 02:46:30,442] Successfully inserted data for 2019-11-13 00:00:00, with _id: 
[2019-10-19 02:46:30,678] Successfully inserted data for 2019-11-14 00:00:00, with _id: 
[2019-10-19 02:46:30,894] Successfully inserted data for 2019-11-15 00:00:00, with _id: 
[2019-10-19 02:46:31,085] Successfully inserted data for 2019-11-16 00:00:00, with _id: 
[2019-10-19 02:46:31,270] Successfully inserted data for 2019-11-17 00:00:00, with _id: 
[2019-10-19 02:46:31,506] Successfully inserted data for 2019-11-18 00:00:00, with _id: 
[2019-10-19 02:46:31,748] Successfully inserted data for 2019-11-19 00:00:00, with _id: 
[2019-10-19 02:50:16,987] Data for 2019-11-09 00:00:00 is already up to date
[2019-10-19 02:50:17,164] Data for 2019-11-10 00:00:00 is already up to date
[2019-10-19 02:50:17,386] Data for 2019-11-11 00:00:00 is already up to date
[2019-10-19 02:50:17,610] Data for 2019-11-12 00:00:00 is already up to date
[2019-10-19 02:50:17,822] Data for 2019-11-13 00:00:00 is already up to date
[2019-10-19 02:50:18,047] Data for 2019-11-14 00:00:00 is already up to date
[2019-10-19 02:50:18,250] Data for 2019-11-15 00:00:00 is already up to date
[2019-10-19 02:50:18,425] Data for 2019-11-16 00:00:00 is already up to date
[2019-10-19 02:50:18,605] Data for 2019-11-17 00:00:00 is already up to date
[2019-10-19 02:50:19,082] Data for 2019-11-18 00:00:00 is already up to date
[2019-10-19 02:50:19,313] Data for 2019-11-19 00:00:00 is already up to date
[2019-10-19 03:13:27,920] Successfully inserted data for 2019-10-15 00:00:00, with _id: 5daab797de2ef5176c9b0db3
[2019-10-19 03:13:28,118] Successfully inserted data for 2019-10-16 00:00:00, with _id: 5daab798de2ef5176c9b0db5
[2019-10-19 03:13:28,321] Successfully inserted data for 2019-10-17 00:00:00, with _id: 5daab798de2ef5176c9b0db8
[2019-10-19 03:13:28,525] Successfully inserted data for 2019-10-18 00:00:00, with _id: 5daab798de2ef5176c9b0dba
[2019-10-19 03:13:28,712] Data for 2019-10-19 00:00:00 is already up to date
[2019-10-19 03:13:28,889] Data for 2019-10-20 00:00:00 is already up to date
